web-scraper-order,web-scraper-start-url,link2,link2-href,name,degree,speciality,price,verified,yearsofexp,region
1695140116-16,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Shivaji Rao C S,https://www.practo.com/bangalore/doctor/dr-shivaji-rao-c-s-internal-medicine?practice_id=1141637&specialization=General%20Physician&referrer=doctor_listing&page_uid=2a8703ba-20fc-44f3-8911-0b7f536f6876,Dr. Shivaji Rao C S,"MBBS, MD - General Medicine","Internal Medicine,",₹ 700,Medical Registration Verified,49 Years Experience Overall  (29 years as specialist),J P Nagar
1695140126-17,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Ashwitha R Nayak,https://www.practo.com/bangalore/doctor/dr-ashwitha-r-nayak-general-physician?practice_id=1401011&specialization=General%20Physician&referrer=doctor_listing&page_uid=2a8703ba-20fc-44f3-8911-0b7f536f6876,Dr. Ashwitha R Nayak,MBBS,General Physician,₹ 200,Medical Registration Verified,6 Years Experience Overall,Kammanahalli
1695140138-18,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Divya K S,https://www.practo.com/bangalore/doctor/dr-diivya-k-s-infectious-diseases-physician?practice_id=1055989&specialization=General%20Physician&referrer=doctor_listing&page_uid=2a8703ba-20fc-44f3-8911-0b7f536f6876,Dr. Divya K S,"MBBS, DNB - General Medicine",General Physician,₹ 900,Medical Registration Verified,16 Years Experience Overall,Domlur
1695140148-19,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Minakshi Dutta,https://www.practo.com/bangalore/doctor/minakshi-dutta-general-physician?practice_id=1380421&specialization=General%20Physician&referrer=doctor_listing&page_uid=2a8703ba-20fc-44f3-8911-0b7f536f6876,Dr. Minakshi Dutta,MBBS,General Physician,₹ 500,Medical Registration Verified,37 Years Experience Overall,Seshadripuram
1695140159-20,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Siri Kamath,https://www.practo.com/bangalore/doctor/dr-siri-kamath-general-physician-1?practice_id=1423810&specialization=General%20Physician&referrer=doctor_listing&page_uid=2a8703ba-20fc-44f3-8911-0b7f536f6876,Dr. Siri Kamath,"MBBS, DNB - General Medicine",General Physician,₹ 500,Medical Registration Verified,14 Years Experience Overall,Kanakpura
1695140181-21,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. John Paul M,https://www.practo.com/bangalore/doctor/dr-john-paul-m-general-physician?practice_id=918580&specialization=General%20Physician&referrer=doctor_listing&page_uid=43903e75-fa92-49d9-894a-3d88a0b84637,Dr. John Paul M,"MBBS, MD - General Medicine",General Physician,₹ 750,Medical Registration Verified,9 Years Experience Overall,Yeshwanthpur
1695140192-22,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. T.N Venkata Subba Rao,https://www.practo.com/bangalore/doctor/dr-t-n-venkata-subba-rao-general-physician?practice_id=1395539&specialization=General%20Physician&referrer=doctor_listing&page_uid=43903e75-fa92-49d9-894a-3d88a0b84637,Dr. T.N Venkata Subba Rao,MBBS,General Physician,₹ 650,Medical Registration Verified,31 Years Experience Overall,Banashankari
1695140203-23,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Swetha J,https://www.practo.com/bangalore/doctor/dr-swetha-j-rheumatologist?practice_id=918580&specialization=General%20Physician&referrer=doctor_listing&page_uid=43903e75-fa92-49d9-894a-3d88a0b84637,Dr. Swetha J,"MBBS, MD - General Medicine","General Physician,",₹ 850,Medical Registration Verified,13 Years Experience Overall  (8 years as specialist),Nagasandra
1695140214-24,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Sunil Havannavar,https://www.practo.com/bangalore/doctor/dr-sunil-havannavar-gynecologist-obstetrician?practice_id=1163290&specialization=General%20Physician&referrer=doctor_listing&page_uid=43903e75-fa92-49d9-894a-3d88a0b84637,Dr. Sunil Havannavar,"MBBS, DNB - General Medicine",Consultant Physician,₹ 800,Medical Registration Verified,20 Years Experience Overall  (13 years as specialist),Chickpet
1695140224-25,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Deepa Rawal,https://www.practo.com/bangalore/doctor/dr-deepa-rawal-general-physician?practice_id=1122309&specialization=General%20Physician&referrer=doctor_listing&page_uid=43903e75-fa92-49d9-894a-3d88a0b84637,Dr. Deepa Rawal,MBBS,General Physician,₹ 600,Medical Registration Verified,27 Years Experience Overall,Electonic city
1695140235-26,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Susheela Suresh,https://www.practo.com/bangalore/doctor/dr-susheela-suresh-internal-medicine?practice_id=636836&specialization=General%20Physician&referrer=doctor_listing&page_uid=43903e75-fa92-49d9-894a-3d88a0b84637,Dr. Susheela Suresh,"MD - General Medicine, MBBS","Internal Medicine,",₹ 800,Medical Registration Verified,38 Years Experience Overall  (37 years as specialist),Ashokanagar
1695140246-27,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Prathima Narayana Murthy,https://www.practo.com/bangalore/doctor/prathima-narayana-murthy-diabetologist?practice_id=896645&specialization=General%20Physician&referrer=doctor_listing&page_uid=43903e75-fa92-49d9-894a-3d88a0b84637,Dr. Prathima Narayana Murthy,MBBS,"General Physician,",₹ 600,Medical Registration Verified,23 Years Experience Overall,Indiranagar
1695140257-28,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Dwijendra Prasad,https://www.practo.com/bangalore/doctor/dwijendra-prasad-diabetologist?practice_id=1235180&specialization=General%20Physician&referrer=doctor_listing&page_uid=43903e75-fa92-49d9-894a-3d88a0b84637,Dr. Dwijendra Prasad,"MD - General Medicine, MBBS",Consultant Physician,₹ 550,Medical Registration Verified,22 Years Experience Overall  (21 years as specialist),Nagasandra
1695140268-29,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Girish  Shiragambi,https://www.practo.com/bangalore/doctor/dr-girish-babu-shiragambi-orthopedist?practice_id=1322328&specialization=General%20Physician&referrer=doctor_listing&page_uid=43903e75-fa92-49d9-894a-3d88a0b84637,Dr. Girish  Shiragambi,MBBS,General Physician,₹ 600,Medical Registration Verified,20 Years Experience Overall,Sarjapura
1695140279-30,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. A Vijaya Vardhan,https://www.practo.com/bangalore/doctor/dr-a-vijaya-vardhan-internal-medicine?practice_id=744511&specialization=General%20Physician&referrer=doctor_listing&page_uid=43903e75-fa92-49d9-894a-3d88a0b84637,Dr. A Vijaya Vardhan,"MBBS, MD - General Medicine","Internal Medicine,",₹ 600,Medical Registration Verified,34 Years Experience Overall  (33 years as specialist),Bomannahalli
1695140301-31,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Rajesh K,https://www.practo.com/bangalore/doctor/rajesh-k-general-physician?practice_id=1392213&specialization=General%20Physician&referrer=doctor_listing&page_uid=22cb8fc8-a404-46b8-b472-48ab3c7ec01e,Dr. Rajesh K,"MD - Emergency Medicine, MBBS","General Physician,",₹ 600,Medical Registration Verified,11 Years Experience Overall,Mahadevapura
1695140313-32,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Kannan Ramaswamy,https://www.practo.com/bangalore/doctor/dr-kannan-ramaswamy-pediatrician-general-physician?practice_id=853078&specialization=General%20Physician&referrer=doctor_listing&page_uid=22cb8fc8-a404-46b8-b472-48ab3c7ec01e,Dr. Kannan Ramaswamy,MBBS,General Physician,₹ 800,Medical Registration Verified,31 Years Experience Overall,Jayanagar
1695140323-33,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Basavaraj Kuntoji,https://www.practo.com/bangalore/doctor/dr-basavaraj-kuntoji-general-physician?practice_id=711687&specialization=General%20Physician&referrer=doctor_listing&page_uid=22cb8fc8-a404-46b8-b472-48ab3c7ec01e,Dr. Basavaraj Kuntoji,"MBBS, MD - General Medicine",General Physician,₹ 700,Medical Registration Verified,23 Years Experience Overall,Malleswaram
1695140335-34,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Mahesh Chandra Pai,https://www.practo.com/bangalore/doctor/dr-mahesh-chandra-pai-internal-medicine?practice_id=918580&specialization=General%20Physician&referrer=doctor_listing&page_uid=22cb8fc8-a404-46b8-b472-48ab3c7ec01e,Dr. Mahesh Chandra Pai,"MBBS, DNB - General Medicine","Internal Medicine,",₹ 600,Medical Registration Verified,24 Years Experience Overall  (17 years as specialist),Yeshwanthpur
1695140345-35,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Murali Krishna Kora,https://www.practo.com/bangalore/doctor/murali-13-pain-management-specialist?practice_id=896645&specialization=General%20Physician&referrer=doctor_listing&page_uid=22cb8fc8-a404-46b8-b472-48ab3c7ec01e,Dr. Murali Krishna Kora,MBBS,General Physician,₹ 700,Medical Registration Verified,14 Years Experience Overall,Indiranagar
1695140356-36,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. K. N. Manjunath,https://www.practo.com/bangalore/doctor/dr-k-n-manjunath-internal-medicine?practice_id=634957&specialization=General%20Physician&referrer=doctor_listing&page_uid=22cb8fc8-a404-46b8-b472-48ab3c7ec01e,Dr. K. N. Manjunath,"MBBS, DNB - General Medicine","Internal Medicine,","₹ 1,000",Medical Registration Verified,45 Years Experience Overall  (40 years as specialist),J P Nagar
1695140367-37,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. K. J. Irfan,https://www.practo.com/bangalore/doctor/k-j-irfan-general-physician?practice_id=637575&specialization=General%20Physician&referrer=doctor_listing&page_uid=22cb8fc8-a404-46b8-b472-48ab3c7ec01e,Dr. K. J. Irfan,"MD - General Medicine, MBBS","General Physician,",₹ 800,Medical Registration Verified,16 Years Experience Overall  (15 years as specialist),Chickpet
1695140378-38,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Dinesh V Kamath,https://www.practo.com/bangalore/doctor/dr-dinesh-v-kamath-diabetologist-1?practice_id=711687&specialization=General%20Physician&referrer=doctor_listing&page_uid=22cb8fc8-a404-46b8-b472-48ab3c7ec01e,Dr. Dinesh V Kamath,"MBBS, MD - General Medicine",General Physician,₹ 700,Medical Registration Verified,37 Years Experience Overall,Malleswaram
1695140389-39,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Shankar V,https://www.practo.com/bangalore/doctor/dr-shankar-v-general-physician?practice_id=711687&specialization=General%20Physician&referrer=doctor_listing&page_uid=22cb8fc8-a404-46b8-b472-48ab3c7ec01e,Dr. Shankar V,"MBBS, MD - General Medicine",General Physician,₹ 700,Medical Registration Verified,38 Years Experience Overall,Malleswaram
1695140401-40,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Sunil S Bohra,https://www.practo.com/bangalore/doctor/dr-sunil-s-bohra-internal-medicine?practice_id=1306542&specialization=General%20Physician&referrer=doctor_listing&page_uid=22cb8fc8-a404-46b8-b472-48ab3c7ec01e,Dr. Sunil S Bohra,"MBBS, DNB - General Medicine, Fellowship in Non-Invasive Cardiology (FIC)","Consultant Physician,",₹ 650,Medical Registration Verified,22 Years Experience Overall  (16 years as specialist),Peenya
1695140422-41,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Neelam Vasudeva,https://www.practo.com/bangalore/doctor/dr-neelam-vasudeva-general-physician?practice_id=1150043&specialization=General%20Physician&referrer=doctor_listing&page_uid=fecbebf4-86ba-4ee4-91a1-4bbb3e6f0e73,Dr. Neelam Vasudeva,"MBBS, MD - General Medicine","Internal Medicine,",₹ 600,Medical Registration Verified,11 Years Experience Overall  (6 years as specialist),Vijayanagar
1695140433-42,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Vasanthakumar R.S,https://www.practo.com/bangalore/doctor/dr-vasanthakumar-r-s-general-practitioner?practice_id=1055989&specialization=General%20Physician&referrer=doctor_listing&page_uid=fecbebf4-86ba-4ee4-91a1-4bbb3e6f0e73,Dr. Vasanthakumar R.S,"MBBS, MD - General Medicine, DM - Nephrology","Nephrologist/Renal Specialist,",₹ 740,Medical Registration Verified,43 Years Experience Overall  (33 years as specialist),Banashankari
1695140444-43,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Shivaprasad C,https://www.practo.com/bangalore/doctor/shivaprasad-c-general-physician?practice_id=1385086&specialization=General%20Physician&referrer=doctor_listing&page_uid=fecbebf4-86ba-4ee4-91a1-4bbb3e6f0e73,Dr. Shivaprasad C,"MBBS, MD - General Medicine",Consultant Physician,₹ 600,Medical Registration Verified,30 Years Experience Overall  (22 years as specialist),Marathahalli
1695140455-44,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Rajeeva Moger,https://www.practo.com/bangalore/doctor/dr-rajeeva-moger-1-general-physician?practice_id=728755&specialization=General%20Physician&referrer=doctor_listing&page_uid=fecbebf4-86ba-4ee4-91a1-4bbb3e6f0e73,Dr. Rajeeva Moger,"MBBS, DNB - General Medicine","General Physician,",₹ 850,Medical Registration Verified,24 Years Experience Overall,Bannerghatta
1695140466-45,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Suresh G,https://www.practo.com/bangalore/doctor/dr-suresh-gupta-general-physician-2?practice_id=879669&specialization=General%20Physician&referrer=doctor_listing&page_uid=fecbebf4-86ba-4ee4-91a1-4bbb3e6f0e73,Dr. Suresh G,"MBBS, MD - General Medicine",General Physician,₹ 650,Medical Registration Verified,33 Years Experience Overall,Electonic city
1695140477-46,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Preeti Gupta,https://www.practo.com/bangalore/doctor/dr-preeti-gupta-general-physician-2?practice_id=879669&specialization=General%20Physician&referrer=doctor_listing&page_uid=fecbebf4-86ba-4ee4-91a1-4bbb3e6f0e73,Dr. Preeti Gupta,MBBS,General Physician,₹ 550,Medical Registration Verified,30 Years Experience Overall,Hebbal
1695140488-47,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Bindu suresh,https://www.practo.com/bangalore/doctor/dr-bindu-suresh-general-physician-2?practice_id=879669&specialization=General%20Physician&referrer=doctor_listing&page_uid=fecbebf4-86ba-4ee4-91a1-4bbb3e6f0e73,Dr. Bindu suresh,"MBBS, MD - General Medicine",General Physician,₹ 700,Medical Registration Verified,21 Years Experience Overall,Electonic city
